analysis_id,79u2hms8r2r2506
mouse_strain,C57BL
parameter_id,IMPC_OFD_013_001
parameter_name,Periphery average speed
pvalue,0.5785169
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
