parameter_name,B Cells
mouse_life_stage,Early adult
analysis_id,8455640767439k2
gene_symbol,Alkbh3
pvalue,0.9509472
gene_accession_id,MGI:1916363
parameter_id,IMPC_IMM_063_001
mouse_strain,C57BL
