parameter_name,Percent time in dark
pvalue,0.1492871
mouse_strain,C57BL
gene_symbol,Gja10
parameter_id,JAX_LDT_008_001
analysis_id,9q0d29sw02wiy6j
mouse_life_stage,Early adult
gene_accession_id,MGI:1339969
