analysis_id,726j28z9q35ua47
parameter_name,Calcium
mouse_strain,C57BL
gene_symbol,Gja10
parameter_id,HMGULA_CBC_009_001
pvalue,0.312382
mouse_life_stage,Early adult
gene_accession_id,MGI:1339969
