parameter_name,HR
gene_symbol,Bpifa3
mouse_strain,129SV
parameter_id,JAXLA_ECG_002_001
pvalue,0.1519606
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
analysis_id,6nd5q0rb98r28iz
