analysis_id,n4a6xhqj6755bo4
parameter_name,Periphery resting time
mouse_strain,C57BL
gene_accession_id,MGI:1916043
parameter_id,IMPC_OFD_011_001
gene_symbol,Rab3gap2
pvalue,0.2310806
mouse_life_stage,Early adult
