gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
analysis_id,d4x4ka1o1ud6ke2
mouse_life_stage,Early adult
pvalue,0.3295852
parameter_id,JAX_SLW_014_001
mouse_strain,C57BL
parameter_name,Breath rate during sleep standard deviation
