mouse_life_stage,Middle aged adult
parameter_id,IMPC_CBC_008_001
gene_accession_id,MGI:1336200
gene_symbol,Hpca
pvalue,1.136956
parameter_name,Total bilirubin
analysis_id,e67z03ju47h1m35
mouse_strain,C57BL
