parameter_name,Total holepokes
gene_symbol,Zfp683
mouse_life_stage,Early adult
pvalue,0.6188555
gene_accession_id,MGI:3650254
mouse_strain,C57BL
parameter_id,JAXLA_HBD_001_001
analysis_id,531hg52nrqmaj04
