analysis_id,wlw1433v6f2c50j
mouse_strain,C57BL
pvalue,0.4599455
parameter_id,ESLIM_007_001_007
gene_accession_id,MGI:1922082
gene_symbol,Slc45a3
mouse_life_stage,Early adult
parameter_name,Periphery resting time
