analysis_id,33698eb621lhhg7
gene_symbol,OLA1
mouse_life_stage,Early adult
parameter_name,Red blood cell count
mouse_strain,C57BL
pvalue,0.5846692
parameter_id,IMPC_HEM_002_001
gene_accession_id,MGI:1914309
