analysis_id,k35t36wv9x6y23a
parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
pvalue,0.99139
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
parameter_name,Placenta Size
mouse_life_stage,Early adult
