gene_symbol,Zmynd8
pvalue,0.7841556
parameter_name,Zygomatic bone
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
parameter_id,IMPC_XRY_002_001
mouse_strain,C57BL
analysis_id,r19m16w55430fuv
