gene_symbol,Ppm1j
mouse_life_stage,Early adult
analysis_id,7t1z922nc93ar4t
pvalue,0.8484921
parameter_name,Total holepokes
mouse_strain,C57BL
parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:1919137
