analysis_id,d342688r3n4v34a
gene_accession_id,MGI:1274787
parameter_id,IMPC_OFD_011_001
mouse_strain,C57BL
gene_symbol,Trdmt1
pvalue,0.7989582
parameter_name,Periphery resting time
mouse_life_stage,Early adult
