parameter_name,Tremor
mouse_strain,C57BL
parameter_id,IMPC_CSD_030_001
gene_symbol,Snap23
pvalue,0.8594874
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
analysis_id,1460080057vy3s5
