parameter_name,NK Subsets (Q1)
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,IMPC_IMM_054_001
pvalue,0.8482918
gene_accession_id,MGI:1924315
analysis_id,moir1y602g081w7
gene_symbol,Ints7
