analysis_id,6hk3k167l66w97u
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_id,MGP_MLN_058_001
parameter_name,Plasmacytoid DC - % of DC
pvalue,0.7902822
