analysis_id,6pd60s6t427jny9
gene_symbol,Arpc2
parameter_id,IMPC_CSD_028_001
pvalue,0.5292908
parameter_name,Snout size
gene_accession_id,MGI:1923959
mouse_strain,129SV
mouse_life_stage,Early adult
