analysis_id,x2mo2p9394hg6xk
gene_symbol,Ola1
pvalue,0.3244595
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_009_001
gene_accession_id,MGI:1914309
