analysis_id,5u38iusv033j446
mouse_strain,C57BL
parameter_name,Effector Treg cells - % of Treg
gene_symbol,Lcn2
pvalue,0.6498786
parameter_id,MGP_IMM_010_001
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
