parameter_name,Weight
parameter_id,CCP_LFO_001_001
mouse_life_stage,Middle aged adult
gene_symbol,AU040320
analysis_id,7nfy78z05o0u6ee
pvalue,0.5361894
mouse_strain,C57BL
gene_accession_id,MGI:2140475
