parameter_id,JAXLA_CBC_015_001
pvalue,0.6843719
mouse_strain,C57BL
analysis_id,ua3ftel928mec2k
mouse_life_stage,Late adult
parameter_name,Total cholesterol
gene_symbol,Hpca
gene_accession_id,MGI:1336200
