gene_symbol,Nipal3
analysis_id,el7ag84dh247d16
pvalue,0.7547783
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
parameter_id,MGP_IMM_125_001
parameter_name,Eosinophils - % of CD45+
mouse_strain,129SV
