parameter_name,Percent time in dark
analysis_id,6d0cj6pl6m9kgcc
parameter_id,JAX_LDT_008_001
gene_symbol,Ntmt2
gene_accession_id,MGI:2685053
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9028072
