analysis_id,7or5be177g7f2h4
parameter_id,JAXLA_CSD_041_002
gene_symbol,Clvs1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
parameter_name,Hindpaw - size
pvalue,0.8459713
