pvalue,8.868012e-05
parameter_name,RR
mouse_strain,C57BL
gene_symbol,Tox
gene_accession_id,MGI:2181659
parameter_id,IMPC_ECG_004_001
analysis_id,67x5i057ddrnq3j
mouse_life_stage,Early adult
