parameter_name,Lean/Body weight
mouse_strain,C57BL
analysis_id,6zbfp951802i24w
pvalue,0.6954441
parameter_id,ESLIM_005_001_702
mouse_life_stage,Early adult
gene_symbol,SLX4IP
gene_accession_id,MGI:1921493
