gene_symbol,Tnni1
pvalue,0.3563208
mouse_strain,C57BL
analysis_id,37fy4v0bs77kmbw
parameter_id,JAXLA_OFD_020_001
parameter_name,Distance travelled - total
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
