parameter_name,Bone Mineral Content
mouse_strain,C54BL
gene_accession_id,MGI:1923959
analysis_id,r4l62lq0f18h6jy
parameter_id,ESLIM_005_001_005
pvalue,0.5926444
mouse_life_stage,Early adult
gene_symbol,Arpc2
