analysis_id,1e2914bb9von93w
parameter_name,Hematocrit
parameter_id,IMPC_HEM_004_001
pvalue,0.4518242
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
mouse_strain,C51BL
gene_symbol,Extl1
