parameter_name,Respiration Rate
gene_accession_id,MGI:1917604
pvalue,0.2534348
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,IMPC_ECH_018_001
gene_symbol,Secisbp2l
analysis_id,i73ia1u1cci00xz
