mouse_strain,129SV
gene_symbol,Nipal3
gene_accession_id,MGI:1921802
parameter_id,MGP_PBI_034_001
mouse_life_stage,Early adult
analysis_id,d5k42jcp0mvwl7b
pvalue,0.08594116
parameter_name,B cell number
