gene_symbol,Mms22l
parameter_name,Conditioning Baseline % Freezing Time
analysis_id,mbs0i4xo5e1gag7
pvalue,0.5836689
mouse_strain,C57BL
parameter_id,IMPC_FEA_003_001
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
