gene_symbol,Orc2
mouse_strain,C57BL
gene_accession_id,MGI:1328306
parameter_id,MGP_IMM_028_001
analysis_id,jgv46vy64190e15
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
pvalue,0.9483991
mouse_life_stage,E9.5
