analysis_id,7c6k9o6mhy361vq
mouse_strain,C57BL
gene_symbol,Mov10
gene_accession_id,MGI:97054
parameter_name,Right total retinal thickness
parameter_id,IMPC_EYE_062_001
pvalue,0.1687954
mouse_life_stage,Early adult
