parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:2685053
pvalue,0.8785652
gene_symbol,Ntmt2
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,8518i2u144004n2
parameter_name,Heart weight
