parameter_id,JAX_URI_002_001
gene_accession_id,MGI:99501
parameter_name,Creatinine
analysis_id,2l0szw157234nlm
pvalue,0.786885
gene_symbol,Fgb
mouse_strain,C57BL
mouse_life_stage,Early adult
