analysis_id,d3613br5w7g4nu4
parameter_name,Resting Treg cells - % of Treg
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
pvalue,0.5211816
parameter_id,MGP_MLN_010_001
mouse_strain,C57BL
gene_symbol,Atf3
