analysis_id,4060i36j8gwp293
gene_symbol,Hrnr
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
pvalue,0.07932189
parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
