parameter_id,IMPC_HEM_002_001
pvalue,0.6489437
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
gene_symbol,Dnajc6
analysis_id,678votki8ox3q9d
mouse_strain,C57BL
parameter_name,Red blood cell count
