gene_symbol,Col11a1
mouse_strain,C52BL
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
analysis_id,n214d32v0016oz5
pvalue,0.9904887
gene_accession_id,MGI:88446
parameter_id,MGP_BMI_006_001
mouse_life_stage,E18.5
