parameter_name,Light side time spent
gene_symbol,Mecom
mouse_life_stage,E12.5
parameter_id,JAX_LDT_002_001
analysis_id,5za56z22cliz3y9
gene_accession_id,MGI:95457
pvalue,0.9268185
mouse_strain,C57BL
