parameter_name,Mean platelet volume
gene_accession_id,MGI:3650254
pvalue,0.8349192
gene_symbol,Zfp683
analysis_id,01b02j9x5x8g37m
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_019_001
