parameter_name,Shape of ribcage
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kcng1
gene_accession_id,MGI:3616086
analysis_id,nh246hwtj6st13y
pvalue,0.3185986
parameter_id,IMPC_XRY_059_001
