parameter_name,Tibia length
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
mouse_strain,C57BL
parameter_id,IMPC_XRY_033_001
gene_symbol,Npbwr1
pvalue,0.6866981
analysis_id,880a84o247h26n7
