mouse_strain,C57BL
parameter_name,Zygomatic bone
pvalue,0.2303133
analysis_id,thi5alr566e033z
gene_accession_id,MGI:2140179
gene_symbol,Dcaf10
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_002_001
