parameter_id,IMPC_DXA_010_001
gene_symbol,Cisd2
analysis_id,u2se52s62uzl2w0
mouse_life_stage,Early adult
parameter_name,Bone Area
mouse_strain,C57BL
pvalue,0.7496824
gene_accession_id,MGI:1914256
