parameter_id,HRWLLA_DXA_007_001
pvalue,0.1745077
gene_accession_id,MGI:95457
mouse_strain,C57BL
gene_symbol,Mecom
analysis_id,2946m0qcv77s7qq
mouse_life_stage,E12.5
parameter_name,BMC/Body weight
