parameter_name,Periphery - Permanence Time
mouse_strain,C57BL
parameter_id,M-G-P_007_001_008
mouse_life_stage,Early adult
pvalue,0.2181754
analysis_id,18d9i488wwwt1am
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
