analysis_id,5g27ye9kn7z9t12
parameter_name,Respiration Rate
mouse_life_stage,Early adult
gene_symbol,Slx4ip
pvalue,0.2651952
parameter_id,IMPC_ECH_018_001
mouse_strain,C57BL
gene_accession_id,MGI:1921493
