analysis_id,245a3wz6rt6l9g2
gene_accession_id,MGI:1934811
parameter_id,IMPC_DXA_007_001
pvalue,0.9901888
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Nucks1
parameter_name,BMC/Body weight
