parameter_name,DN CD44+CD62L- NKT cells
mouse_strain,C57BL
analysis_id,19kxdsokm8x5708
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_046_001
pvalue,0.4787023
