parameter_name,Periphery average speed
parameter_id,ESLIM_007_001_009
analysis_id,428gus03m2i077f
gene_accession_id,MGI:1914515
mouse_life_stage,Early adult
gene_symbol,Slc39a10
mouse_strain,C57BL
pvalue,0.4744328
