parameter_name,Chloride
analysis_id,04uw9d9u61zsy95
mouse_strain,C57BL
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
pvalue,0.9795119
gene_symbol,Nemp2
parameter_id,IMPC_CBC_003_001
