Parameter_name,Midbrain
Pvalue,0.9146606
Mouse_strain,C57BL
analysis_id,9e00396g8pts8c3
gene_accession_id,MGI:1917604
Gene_symbol,Secisbp2l
Mouse_life_stage,Middle aged adult
Parameter_id,IMPC_GEL_029_001
