analysis_id,q3625nf354g518j
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
gene_symbol,Rab13
parameter_id,IMPC_CSD_008_001
pvalue,0.9810229
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
