gene_symbol,Stk35
analysis_id,6paio9t49zdw65z
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
parameter_id,MGP_PBI_032_001
pvalue,0.4430664
mouse_strain,C57BL
parameter_name,CD4+ KLRG1+ alpha beta T cell number
