parameter_id,IMPC_DXA_007_001
gene_accession_id,MGI:2653612
analysis_id,ffeyg3c03o28543
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1096798
gene_symbol,Amigo1
