parameter_name,Global prepulse inhibition
gene_accession_id,MGI:1927379
pvalue,0.8382009
analysis_id,fi6n3hqr2v2y9a2
parameter_id,ESLIM_011_001_705
mouse_strain,C57BL
gene_symbol,Rhbg
mouse_life_stage,Early adult
