analysis_id,j4mz5h537r2p00u
parameter_name,Caudal processes
gene_symbol,Ubxn11
pvalue,0.6403224
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914836
parameter_id,IMPC_XRY_067_001
