parameter_name,Cholesterol ratio
parameter_id,IMPC_CBC_058_001
gene_symbol,Toporsl
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
pvalue,0.7050335
mouse_strain,C57BL
analysis_id,u268kl4706o4p9k
