analysis_id,85tqc14e34i8wnp
parameter_id,IMPC_CSD_030_001
gene_accession_id,MGI:1336200
pvalue,0.4511641
mouse_life_stage,Late adult
parameter_name,Tremor
gene_symbol,Hpca
mouse_strain,C57BL
