parameter_name,Dark side time spent
mouse_life_stage,Early adult
pvalue,0.8580916
mouse_strain,C57BL
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
analysis_id,9w07sv20k4k3164
parameter_id,JAX_LDT_004_001
